,ID,Gender,Age,Region_Code,Occupation,Channel_Code,Vintage,Credit_Product,Avg_Account_Balance,Is_Active,Is_Lead
199269,PBPCRY7Z,1,61,4,3,3,129,2,2317515,1,0
73666,GCQQNZKP,1,49,4,3,2,91,2,977202,1,0
203442,QEWWTPC7,0,36,30,4,1,19,2,1026285,0,0
173076,3HFCTW26,0,27,5,2,3,19,2,353659,0,0
89626,LECBVTAR,1,57,16,3,4,13,1,227670,0,0
147954,3R5E2VPL,1,32,4,3,1,20,2,418113,0,0
17885,ZNTAJXHB,1,32,18,2,1,19,2,1218338,1,0
207069,9NMGP3UJ,1,57,18,4,2,26,1,1220474,1,1
228114,KFF5PHJW,0,29,27,2,1,27,2,459649,0,0
58481,A7AA4YNU,1,77,33,4,2,20,2,1494639,1,0
231105,VV3OSC3U,0,38,7,2,1,32,2,1156065,0,0
147655,CPJBMZVG,1,59,4,3,4,8,1,1762760,1,0
229967,JQRBM6XB,0,29,11,2,1,19,1,228747,0,0
222109,HEK2RLMW,0,78,34,4,2,55,2,686279,1,0
32415,JTRXTKKM,1,63,15,4,3,51,1,1306092,0,0
79276,CS4W2HX2,0,31,18,4,1,27,2,1402328,1,0
223986,MKOPQLQP,1,52,30,3,3,56,2,385441,0,0
159904,H6YLSPH9,0,32,34,2,1,32,2,2839901,0,0
43636,5VGNRQHG,1,50,4,3,2,99,2,704283,0,0
105055,VPQSS3NV,1,55,34,3,2,20,2,712525,1,0
162879,WRCUA5J6,1,45,1,3,3,20,1,1055370,0,1
231365,AN4MRWYP,0,27,11,2,1,27,2,1141540,0,0
18240,NKUWA6GW,1,34,11,2,1,15,2,953741,0,0
199784,NUP6R55F,1,58,18,4,3,111,0,1252870,0,0
4316,CC4CKKSU,0,47,3,3,3,73,2,1598173,1,0
20721,3LPEV3PR,1,53,27,3,2,25,0,445071,1,1
42676,VMOZUUWH,1,29,1,2,1,14,2,231702,0,1
48951,XG97ADKK,0,28,11,2,1,31,2,614286,1,0
224996,RMK7FQZA,1,47,18,3,2,85,2,1127674,1,0
136969,LZBZHB8R,1,56,33,4,1,26,1,792108,0,0
143442,JDIN2VGR,1,53,30,4,2,104,2,352733,1,0
63530,VDJDMGIY,1,46,20,4,3,21,1,1548021,0,1
127403,JZNTBWWK,1,34,18,3,1,32,2,642588,0,0
94759,3CPOGNWS,1,50,18,2,3,51,1,529042,0,1
127407,5GDMV5JG,1,84,26,4,3,57,2,1232213,0,0
240913,9YXNEVFX,1,28,19,2,1,21,2,1135292,0,0
237358,5WW6YGVX,1,48,18,3,3,21,1,821265,0,0
210236,BYBSCG2B,1,63,4,4,3,81,2,968168,1,0
34270,JBXFBR3A,0,50,33,3,3,115,2,712578,0,0
109070,MPJYRA9T,1,65,1,4,3,13,1,637622,0,0
189277,C5F7HEWT,1,63,32,4,3,25,2,1103012,0,0
51039,5RM7DOTW,1,56,4,2,2,31,0,1187420,1,1
165692,QXDGSQNR,1,32,31,2,1,26,2,768906,0,0
164751,WJXXVPSJ,1,62,3,4,2,62,1,1003412,1,0
8227,DGNRYVUD,1,27,13,4,3,21,1,1164351,0,0
242231,H3QCNFVP,0,63,18,4,3,121,2,760086,1,0
93031,7GTMYIBC,0,32,23,3,1,21,1,480858,0,0
52846,AJCEQFCU,1,44,29,3,3,80,1,515594,1,0
243684,OBYGMNDL,0,39,34,3,4,15,1,930210,0,0
132948,RFVCG4WM,1,43,33,4,3,74,2,610522,1,0
175244,D3RJQ8IW,1,47,29,3,3,49,2,216545,0,0
29352,7DPABGDD,1,42,10,3,3,32,2,1283718,1,0
229894,O6Y77FG8,0,29,32,2,1,26,2,302528,0,0
159870,AHPJZNKS,1,43,20,3,2,49,2,1522523,1,0
29907,WRS5WO8N,1,32,6,3,1,25,2,181106,0,0
3724,UVFSDZC7,1,29,29,2,1,25,2,1144629,0,0
107291,IYZCDQVQ,1,35,26,2,4,14,2,1101170,1,0
189428,OWSZAB2B,0,48,4,3,3,87,2,1785927,0,0
78751,FYOSLSNY,1,24,12,2,1,19,1,2071857,0,0
3441,RQ6JEGTS,0,43,18,3,2,32,0,3486993,0,1
207240,BCKEBRSQ,1,31,27,2,1,15,2,466573,0,0
146335,AWGBREO9,1,71,1,4,3,99,1,251861,1,0
225160,DAVTRFKK,0,44,30,4,3,99,2,935799,1,1
87421,996HLZUQ,0,41,24,3,2,20,1,565906,0,0
134222,GTBVRRBT,1,48,18,3,2,38,2,6071224,1,0
157253,QIVWZPFC,0,30,11,2,1,14,2,922022,0,0
234176,7PMKHYGH,1,38,33,4,2,14,2,1043943,1,0
207116,66TYGBKF,1,39,18,3,2,45,2,1028297,1,0
124650,LCLRFHQA,0,26,1,2,1,15,2,204931,0,0
152670,K8PZ9XGB,0,27,6,4,1,21,2,510254,0,0
236582,DARVHT73,1,37,20,2,1,26,2,800688,0,0
131123,VYMHR9BM,1,58,18,4,3,73,1,1824411,0,0
136364,QJ7PLY3B,0,35,23,2,1,31,2,1619951,0,0
42758,6MQU3E87,1,28,1,2,1,33,2,834179,0,0
174773,KFWUUQKL,0,53,18,1,3,85,1,1254330,0,0
244545,PP5MRAVI,0,80,34,4,3,122,2,591235,0,0
234220,7KQZ779R,1,31,27,2,1,21,2,1498955,0,0
191769,7EOOUQBN,1,54,18,3,3,104,1,579924,1,1
232041,BDXX2RCQ,1,70,1,4,3,105,2,1171916,0,0
218724,S7FC2QPZ,0,42,3,3,1,26,0,744031,1,1
77686,W989MASF,1,48,34,3,2,27,1,810407,0,0
87913,HSDCYEXA,1,31,0,2,1,27,2,397990,1,0
31689,EBK5GSDX,1,26,1,2,1,26,2,814243,0,0
202055,K99K62FB,1,53,18,3,3,99,1,1092012,1,0
238970,BECTMEVT,1,43,1,3,2,63,0,979418,0,0
110042,M7H52NQR,0,27,30,2,1,15,2,282779,0,0
138002,EINYEX3P,0,31,18,4,1,33,2,1091905,1,0
165247,C6KMKBCR,0,59,33,3,2,31,2,2433313,0,0
195346,J4NF9MTQ,0,41,22,3,1,33,1,734178,0,0
44357,4TTXDXA7,1,31,33,2,1,27,2,1184643,0,0
222475,GCNWO3SX,0,72,30,4,2,97,2,711804,0,0
85186,FSJLU5BU,0,32,31,2,1,15,2,1577694,0,0
136865,KATHVFBH,1,47,20,3,3,99,0,2758199,0,1
122510,85PUNSJ8,0,43,33,3,3,43,1,4615718,1,0
82682,MPCKCH2Q,1,37,11,2,1,21,2,600420,0,0
215089,J2OS9OGE,0,46,33,4,2,85,1,3681502,1,1
215052,BKANT24S,1,64,18,4,3,14,1,1206101,0,0
243368,DSSKCPFX,0,30,30,2,1,32,2,414339,0,0
70178,MMXUXB8U,1,28,32,2,1,20,2,583733,0,0
141954,5H6O97PZ,1,56,31,3,1,15,2,1191193,0,0
190041,NXD5BP6K,0,29,20,2,1,20,2,863050,0,0
139070,JGTHYHIJ,1,28,6,4,1,13,2,996346,0,0
31577,P7KYSFRP,1,59,27,3,3,81,2,194011,1,0
62996,MHTT76UN,0,30,12,2,1,27,1,1287304,1,0
20830,JX3RDLWV,1,31,33,1,3,32,1,988665,1,0
211301,PNBCLMEW,1,27,34,3,1,14,2,1726048,1,0
150770,9EQQ3TPS,1,27,23,4,1,21,1,774077,0,0
205183,CSJYPBE5,1,63,24,4,2,20,2,2884071,0,0
175350,LGOCFV93,0,50,4,3,3,68,2,1276340,1,0
228695,3VZOLPB4,1,56,33,3,2,74,2,1362109,0,0
208186,AKU5EN65,0,45,33,4,3,92,1,1611273,0,1
30004,9NEQ4ECN,0,79,14,4,3,61,2,770384,0,0
194606,MMNTYZMH,0,55,33,3,3,92,1,1460801,1,0
118905,EFVFVYLA,0,25,28,2,1,13,2,626382,0,0
8253,TH34XBJ4,0,26,17,2,1,20,2,338200,0,0
121929,DJUYHKZW,0,49,3,3,2,15,2,1466880,1,0
201470,J53YJ9US,0,29,10,2,1,31,2,453303,0,0
24599,GMCPGBDY,1,27,25,4,1,25,2,707398,1,1
227543,SML9BY3E,1,32,27,2,1,26,2,1203858,0,0
70460,9ZFUNQUN,0,27,11,2,1,20,1,759348,0,0
